"BookName","Edition","ISBN13","ISBN10","Author1","Description"
"Intermediate Accounting Plus MyLab Accounting with Pearson eText -- Access Card Package","1st Edition","9780134053714","134053710","Elizabeth A. Gordon, Jana S. Raedy, Alexander J. Sannella","NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, and registrations are not transferable. To register for and use Pearson's MyLab & Mastering products, you may also need a Course ID, which your instructor will provide.

 

Used books, rentals, and purchases made outside of Pearson

If purchasing or renting from companies other than Pearson, the access codes for Pearson's MyLab & Mastering products may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase.

 

This title is intended for students in the intermediate accounting course, but can also be used as a reference for practicing professionals.

This package includes MyAccountingLab?

 

Think like an accountant?from the first day of class, througouth your career

Thinking like an accountant isn?t just rote memorization of accounting rules. Rather, it?s developing the judgment and decision-making skills needed to form accounting estimates and evaluate financial statements critically. With its focus on Conceptual Framework fundamentals and critical thinking, Gordon, Raedy, and Sannella?s Intermediate Accounting give readers opportunities to develop problem-solving skills, apply their judgment, and work with real company financials?all of the skills necessary to succeed in the course, and beyond. Once they have mastered these essential skills, readers will not only be prepared to pass the CPA exam, they?ll be able to think like accountants.

 

Improve results with MyAccountingLab

MyAccountingLab is an online homework, tutorial, and assessment program designed to work with Intermediate Accounting to engage students and improve results. From the first day of class, the interactive Accounting Cycle Tutorial gives students ample practice to refresh the basics, allowing instructors to spend valuable class time focusing on intermediate-level concepts and applications. Throughout the course, students test their understanding, receive helpful feedback on their errors, and practice solving accounting problems the way they will in their careers."
"INTERMEDIATE ACCOUNTING I"," Edition","9781259688263","1259688267","SPICELAND","Financial accounting is undergoing a period of unprecedented change. The FASB and IASB have been working together to issue converged accounting standards that will dramatically change key reporting areas, and more generally have sought to converge accounting standards over time. In late 2011, the SEC will announce its decision on whether large public companies in the U.S. will be able to choose whether to report under U.S. GAAP or IFRS or if all companies are anticipated to be reporting under IFRS in the near future. So, while there currently is considerable overlap between U.S. GAAP and IFRS, and that overlap is increasing as convergence continues, important differences remain."
"Horngren's Financial & Managerial Accounting, The Financial Chapters, Student Value Edition (6th Edition)","6th Edition","9780134491905","134491904","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","NOTE This edition features the same content as the traditional text in a convenient, three-hole-punched, loose-leaf version. Student Value Editions also offer a great value; this format costs significantly less than a new textbook. Before purchasing, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of MyLab(TM) and Mastering(TM) platforms exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a Course ID, provided by your instructor, to register for and use MyLab and Mastering platforms. 

For courses in Financial and Managerial Accounting. Expanding on proven success with Horngren's financial and managerial accounting Horngren's Financial and Managerial Accounting, The Financial Chapters present the core content and principles of accounting in a fresh format designed to help today's learners succeed. As teachers first, the author team knows the importance of delivering a reader experience free of obstacles. Their pedagogy and content uses leading methods in teaching readers critical foundational topics and concentrates on improving individual results. With this in mind, the 6th Edition continues to focus on readability and comprehension and takes this a step further in the managerial chapters by employing a new theme to help readers see how managerial accounting is used as a tool to help all business people make decisions. 

By providing more meaningful learning tools, this title helps readers clear hurdles, like never before. Also available with MyLab Accounting MyLab(TM) Accounting is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts. If you would like to purchase both the loose-leaf version of the text and MyLab Accounting, search for: 0134642864 / 9780134642864 Horngren's Financial & Managerial Accounting, The Financial Chapters, Student Value Edition Plus MyLab Accounting with Pearson eText -- Access Card Package Package consists of: 0134461657 / 9780134461656 MyLab Accounting with Pearson eText -- Access Card -- for Horngren's Financial & Managerial Accounting, The Financial Chapters 0134491904 / 9780134491905 Horngren's Financial & Managerial Accounting, The Financial Chapters, Student Value Edition."
"FUND.ACCT.PRIN. (LL)-W/ACCESS >CUSTOM<","23rd Edition","9781260240351","1260240355","Wild",
"COST ACCT. CUSTOM W/ ACCESS"," Edition","9781269700610","1269700618","Horngren",
"FIN.ACCTG:ACC 101 CUST.CONNECT-W/ETXT C","9th Edition","9781260685657","1260685659","Libby","Libby/Libby/Hodge wrote this text based on their belief that the subject of financial accounting is inherently interesting, but financial accounting textbooks are often not. They believe most financial accounting textbooks fail to demonstrate that accounting is an exciting field of study and one that is important to future careers in business. When writing this text, they considered career relevance as their guide when selecting material, and the need to engage the student as their guide to style, pedagogy, and design. Libby/Libby/Hodge successfully implements a real-world, single focus company approach in every chapter. Students and instructors have responded very favorably to the use of focus companies and the real-world financial statements. The companies chosen are engaging and the decision-making focus shows the relevance of financial accounting regardless of whether or not the student has chosen to major in accounting. Libby/Libby/Hodge believes in the building-block approach to teaching transaction analysis. Most faculty agree that mastery of the accounting cycle is critical to success in financial accounting. And yet all other financial books introduce and develop transaction analysis in one chapter, bombarding a student early in the course with an overload of new concepts and terms. The authors believe that most faculty take more time with the accounting cycle, but other financial accounting textbooks don't. By slowing down the introduction of transactions and giving students time to practice and gain mastery, this building-block approach leads to greater student success in their study of later topics in financial accounting such as adjusting entries. ISBN-13 9781259222139 does not come with an access code. In order to purchase the access code, you must use this ISBN-13 9781259738722 and ISBN-10 1259738728."
"INTERMEDIATE ACCOUNTING (LL) W/CONNECT","9th Edition","9781309097038","1309097038","SPICELAND","Nice clean copy. Minimal signs of wear. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, and may not include CD-ROM or access codes. 100% Customer Satisfaction Guaranteed!"
"FINANCIAL+MANAGERIAL ACCT PKG","17th Edition","9781323741085","1323741089","Horngren",
"Accounting: What the Numbers Mean","11th Edition","9781259535314","1259535312","David Marshall, Wayne William McManus, Daniel Viele","Accounting has become known as the language of business. This new edition is written to meet the needs of those students who will not be accountants but who do need to understand accounting to learn the key language that embarks us in the business world. Marshall, the leading text in the Survey market, takes readers through the basics: what accounting information is, what it means, and how it is used. The authors help students succeed through clear and concise writing, a conceptual focus and unparalleled technology support. In using this text, students examine financial statements and discover what they do and do not communicate. 
This enables them to gain the crucial decision-making and problem-solving skills they need in order to succeed in a professional environment."
"ACTG 11 TEXT W/ACCESS >CI<"," Edition","9781259998379","1259127923","Libby","Libby/Libby/Short wrote this text based on their belief that the subject of financial accounting is inherently interesting, but financial accounting textbooks are often not. They believe most financial accounting textbooks fail to demonstrate that accounting is an exciting field of study and one that is important to future careers in business. When writing this text, they considered career relevance as their guide when selecting material, and the need to engage the student as their guide to style, pedagogy, and design."
"COST ACCOUNTING"," Edition","9781323693988","132369398X","Horngren",
"INTERMED ACCTNG BINDER RDY W/WILEYPLUS","17th Edition","9781119503545","111950354X","Kieso",
"GEN COMBO FINANCIAL ACCOUNTING FUNDAMENTALS; CONNECT ACCESS CARD","6th Edition","9781260088595","1260088596","John Wild","McGraw-Hill Connect? is a subscription-based learning service accessible online through your personal computer or tablet. Choose this option if your instructor will require Connect to be used in the course. Your subscription to Connect includes the following:

? SmartBook? - an adaptive digital version of the course textbook that personalizes your reading experience based on how well you are learning the content.
? Access to your instructor?s homework assignments, quizzes, syllabus, notes, reminders, and other important files for the course.
? Progress dashboards that quickly show how you are performing on your assignments and tips for improvement.
? The option to purchase (for a small fee) a print version of the book. This binder-ready, loose-leaf version includes free shipping.

Complete system requirements to use Connect can be found here: http://www.mheducation.com/highered/platforms/connect/training-support-students.html"
"FUND.OF FINANCIAL MGMT:CONCISE-TEXT","8th Edition","9781285065144","128506514X","Eugene F. Brigham and Joel F. Houston","Loose Leaf version with a 2"" black binder. No CENGAGE NOW card."
"ACCOUNTING PRINCIPLES V.2 W/ WILEY PLU","12th Edition","9781119157090","1119157099","Weygandt",
"INTER.ACC (LL)-W/CONNECT PKG","9th Edition","9781260636260","1260636267","SPICELAND","Financial accounting is undergoing a period of unprecedented change. The FASB and IASB have been working together to issue converged accounting standards that will dramatically change key reporting areas, and more generally have sought to converge accounting standards over time. However, at present the convergence process appears to have stalled with respect to new standards, and it is not clear when, if ever, IFRS will be fully incorporated into U.S. GAAP. So, while there is considerable overlap between U.S. GAAP and IFRS, important differences between U.S. GAAP and IFRS will remain for the foreseeable future."
"MANAGERIAL ACCOUNTING (LOOSE)-W/ACCESS","16th Edition","9781260219890","1260219895","Garrison",
"Horngren's Accounting, The Financial Chapters, Student Value Edition Plus MyLab Accounting with Pearson eText -- Access Card Package (11th Edition)","11th Edition","9780134078960","134078969","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, and registrations are not transferable. To register for and use Pearson's MyLab & Mastering products, you may also need a Course ID, which your instructor will provide. 
Used books, rentals, and purchases made outside of Pearson
If purchasing or renting from companies other than Pearson, the access codes for Pearson's MyLab & Mastering products may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase. 
""For courses in Financial and Managerial Accounting.
This package includes MyAccountingLab(R)."" 
Expanding on Proven Success with Horngren's Accounting 
""Horngren's Accounting"" presents the core content of the accounting course in a fresh format designed to help today's learners succeed. 
The Eleventh Edition expands on the proven success of the significant revision to the Horngren franchise and uses what the authors have learned from focus groups, market feedback, and colleagues to create livelier classrooms, provide meaningful learning tools, and give professors resources to help students inside and outside the class. First, the authors ensured that content was clear, consistent, and above all, accurate. Every chapter is reviewed to ensure that students understand what they are reading and that there is consistency from chapter to chapter. The author team worked every single accounting problem and employed a team of accounting professors from across the nation to review for accuracy. 
This edition continues the focus on student success and provides resources for professors to create an active and engaging classroom. Through MyAccountingLab, students have the opportunity to watch author recorded solution videos, practice the accounting cycle using an interactive tutorial, and watch in-depth author-driven animated lectures that cover every learning objective. In addition, all instructor resources have been updated to accompany this edition of the book, including the PowerPoint presentations and Test Bank. 
Personalize learning with MyAccountingLab
MyAccountingLab is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts."
"FINANCIAL ACCOUNTING (UNH) W/ACCESS","9th Edition","9781260379778","1260379779","Libby",
"MGRL ACCTG(LL)+ACCESS","2018th Edition","9781260419658","1260419657","Garrison",
"CORPORATE FINANCIAL ACCT-ACCESS>CUSTOM<","13th Edition","9781305662360","1305662369","WARREN","CengageNOWv2 is an easy-to-use online resource that helps you study in less time to get the grade you want. This integrated system helps you efficiently manage and complete homework assignments from the text. Take quizzes and get feedback to determine the areas which require more practice and direct you to review tutorials, demonstration exercises, videos, eBook content, and fun accounting games to help learn the material. This one-stop, online passport allows access to CengageNOWv2 for all of your courses without having to sign in again."
"Managerial Accounting Plus NEW MyLab Accounting with Pearson eText -- Access Card Package (4th Edition)","4th Edition","9780133803808","133803805","Karen W. Braun, Wendy M. Tietz","ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN . Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID , provided by your instructor, to register for and use Pearson's MyLab & Mastering products. Packages Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase. Used or rental books If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code. Access codes Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. 

Check with the seller prior to purchase. -- For courses in Introduction to Management Accounting This text helps students make the connection between managerial accounting concepts and the businesses they deal with everyday through strong coverage and effective practice. By presenting actual accounting decisions made in companies like Target and J. Crew, the text's precise coverage of the core concepts engages students in the learning process. MyAccountingLab for Managerial Accounting is an online homework, tutorial, and assessment program that truly engages students in learning. 

It helps students better prepare for class, quizzes, and exams-resulting in better performance in the course-and provides educators with a dynamic set of tools for gauging individual and class progress. This program provides a better teaching and learning experience-for you and your students. Here's how: Personalized learning with MyAccountingLab -the online homework, tutorial and assessment program that helps students succeed in the classroom and beyond. Students see the connections between accounting concepts and the businesses they interact with everyday. Students learn from the latest information on important topics in the field. 

Note: Managerial Accounting with MyAccountingLab Access Card Package, 4/e contains:
* 0133428370 / 9780133428377 Managerial Accounting, 4e
* 0133451488 / 9780133451481 NEW MyAccountingLab with Pearson eText -- Access Card -- for Managerial Accounting, 4e MyAccountingLab is not a self-paced technology and should only be purchased when required by an instructor."
"CORP.FIN.ACCT-W/CENGAGENOW >IC<"," Edition","9781285148717","1285148711","WARREN",
"Working Papers, Chapters 18-26 for Warren/Reeve/DuchacÃ¢Â€Â™s Accounting, 27E","27th Edition","9781337272162","1337272167","Reeve, James M., Duchac, Jonathan, WARREN, Carl S.","You'll find the tools you need to help work through end-of-chapter assignments with these working papers. The preformatted files provide a starting point by giving you a basic structure for journal entries and problems."
"FINANCIAL ACCOUNTING"," Edition","9781260847826","1260847829","SPICELAND","Purchased for my son but is not needed. Unused with Access Code unscratched."
"ACCOOUNTING PRINCIPLES VL1 >IC<","12th Edition","9781119139393","1119139392","Weygandt","Accounting Principles Volume 1 12th Edition Laguardia Community College Principles of Accounting 111/112 Wiley Custom Learning Solutions ISBN-13: 978-1-11-913939-3 ISBN-10: 1-11-913939-2 UPC: 9781119139393 90000 Brand New Textbook Only, no online code."
"Gen Combo Looseleaf Principles Financial Accounting Ch 1-17; Connect Access Card","23rd Edition","9781260087413","1260087417","Wild",
"INTERMED.ACCTG.-(LOOSELEAF)","16th Edition","9781119404958","1119404959","Kieso",
"ACCOUNTING:TOOLS...(LL)-W/WILEYPLUS >B","6th Edition","9781119301318","1119301319","Kimmel","Students get accounting when using Kimmel Accounting because we make learning accounting easy and accessible for today?s different types of learners. Written in a concise, clear, and conversation way, Kimmel Accounting provides just the right amount of information students need to come to class prepared, while powerful visuals, Interactive Tutorials, and Problem Solving Videos make complex accounting concepts possible to absorb quickly."
"Accounting Principles 12th Edition","12th Edition","9781119263111","1119263115","Kimmel,  Kieso Weygandt","Accounting Principles for Queensborough Community College"
"ADVANCED ACCOUNTING >C<"," Edition","9781307286250","1307286259","Hoyle",
"Financial Accounting","4th Edition","9780134125053","134125053","Kemp,  Robert S., Waybright,  Jeffrey.","For introductory courses in Financial Accounting. Understanding Financial Accounting as the Language of Business Once individuals see that accounting is the language of business, they are on their way to academic and professional success. Financial Accounting translates the essentials of accounting to readers so they understand why and when financially sound decisions are made in business today. The Fourth Edition uses real-world examples from Bold City Brewery and other businesses that readers encounter in their everyday lives, making the material relevant and giving readers more of those ""I get it"" moments. Also Available with MyAccountingLab (R) MyAccountingLab is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. 

Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts. NOTE: You are purchasing a standalone product; MyAccountingLab does not come packaged with this content. If you would like to purchase both the physical text and MyAccountingLab search for: 0134436113 /9780134436111 Financial Accounting Plus MyAccountingLab with Pearson eText -- Access Card Package Package consists of: 0134115651 / 9780134115658 MyAccountingLab with Pearson eText -- Access Card -- for Financial Accounting 0134125053 / 9780134125053 Financial Accounting."
"COST ACCT-W/ACCESS >C< NON-MAJORS","15th Edition","9781269768191","1269768190","Horngren",
"MANAGERIAL ACCOUNTING-W/ACCESS","15th Edition","9781259830815","1259830810","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison?s Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor?s manual, and study guide ? making them both of high quality and extremely consistent with the textbook."
"Connect Access Card for Intermediate Accounting","9th Edition","9781260029871","1260029875","J. David Spiceland, Wayne M Thomas, Mark W. Nelson","McGraw-Hill Connect? is a subscription-based learning service accessible online through your personal computer or tablet. Choose this option if your instructor will require Connect to be used in the course. Your subscription to Connect includes the following:

? SmartBook? - an adaptive digital version of the course textbook that personalizes your reading experience based on how well you are learning the content.
? Access to your instructor?s homework assignments, quizzes, syllabus, notes, reminders, and other important files for the course.
? Progress dashboards that quickly show how you are performing on your assignments and tips for improvement.
? The option to purchase (for a small fee) a print version of the book. This binder-ready, loose-leaf version includes free shipping."
"FINAN/MANAG ACCOUNTING W/CONNECT (LL)","6th Edition","9781259666537","1259666530","Wild",
"INTERMEDIATE ACCOUNTING W/CONNECT >C<","8th Edition","9781259966811","125996681X","SPICELAND",
"Accounting Principles 12e with WilePlus Access Code Customized for Southwestern Illinois College - Accounting 105","12th Edition","9781119143222","1119143225","Weygandt","Looseleaf book and online access code by Wiley Custom Learning Solutions."
"FINANCIAL/MANAGERIAL ACCT W/CNCT  >BI<","7th Edition","9781260675511","1260675513","Wild",
"Horngren's Financial & Managerial Accounting, The Managerial Chapters, Student Value Edition Plus MyLab Accounting with Pearson eText -- Access Card Package (5th Edition)","5th Edition","9780134078922","134078926","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, and registrations are not transferable. To register for and use Pearson's MyLab & Mastering products, you may also need a Course ID, which your instructor will provide. Student can use the URL and phone number below to help answer their questions: http: //247pearsoned.custhelp.com/app/home 800-677-6337 Used books, rentals, and purchases made outside of Pearson If purchasing or renting from companies other than Pearson, the access codes for Pearson's MyLab & Mastering products may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase. 

For courses in Financial and Managerial Accounting. This package includes MyAccountingLab(R). Expanding on Proven Success with Horngren's Financial and Managerial Accounting Horngren's Financial and Managerial Accounting presents the core content of the accounting course in a fresh format designed to help today's learners succeed. The Eleventh Edition expands on the proven success of the significant revision to the Horngren franchise and uses what the authors have learned from focus groups, market feedback, and colleagues to create livelier classrooms, provide meaningful learning tools, and give professors resources to help students inside and outside the class. First, the authors ensured that content was clear, consistent, and above all, accurate. 

Every chapter is reviewed to ensure that students understand what they are reading and that there is consistency from chapter to chapter. The author team worked every single accounting problem and employed a team of accounting professors from across the nation to review for accuracy. This edition continues the focus on student success and provides resources for professors to create an active and engaging classroom. Through MyAccountingLab, students have the opportunity to watch author recorded solution videos, practice the accounting cycle using an interactive tutorial, and watch in-depth author-driven animated lectures that cover every learning objective. In addition, all instructor resources have been updated to accompany this edition of the book, including the PowerPoint presentations and Test Bank. 

Personalize learning with MyAccountingLab MyAccountingLab is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts. 0134047478/ 9780134047478 Horngren's Financial & Managerial Accounting, The Managerial Chapters Plus MyAccountingLab with Pearson eText -- Access Card Package, 5/e 013385129X/ 9780133851298 Horngren's Financial & Managerial Accounting, The Managerial Chapters, 5/e 0133877248/ 9780133877243 MyAccountingLab with Pearson eText -- Access Card -- for Horngren's Financial & Managerial Accounting, The Managerial Chapters, 5/e"
"Intermediate Accounting, Binder Ready Version","16th Edition","9781118742976","1118742974","Donald E. Kieso, Jerry J. Weygandt, Terry D. Warfield","Kieso, Weygandt, and Warfield's Intermediate Accounting continues to set the standard for students and professionals in the field. Kieso maintains the qualities for which the text is globally recognized, including its repuatation for accuracy, comprehensiveness, accessibility, and quality problem material that best prepares students for success on the CPA exam and accounting careers. The 16th edition offers the most up-to-date coverage of US GAAP & IFRS in a presentational format suited to the complex challenges of teaching intermediate accounting in these changing times."
"MyLab Accounting with Pearson eText -- Access Card -- for Horngren's Accounting, The Financial Chapters (My Accounting Lab)","11th Edition","9780133877502","133877507","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","Before You Buy: This product is accessed in browser and does not require a Kindle. Several custom versions of Pearson?s MyLab? & Mastering? products exist for each title and access codes are not transferable. Before you purchase, ensure you have the correct ISBN. You will also need a CourseID, provided by your instructor, to register for and use this product.
Break Through to Improving Results: Driven by our understanding of the challenges and aspirations inherent to education, MyLab? & Mastering? engages learners continuously and offers data-driven guidance that helps them reach specific, measurable learning outcomes."
"FUND.FINANCIAL ACCT..(LL)W/CODE>CUSTOM<","9th Edition","9781260138948","1260138941","Edmonds",
"Intermediate Accounting, 16e Wiley E-text Reg Card","16th Edition","9781119283348","1119283345","Kieso",
"FUND. MANAGERIAL ACCT. 8TH >ACCESS<","8th Edition","9781260529630","1260529630","Edmonds",
"MANAGERIAL ACCOUNTING (LL)-W/ACCESS","16th Edition","9781260705898","1260705897","Garrison",
"Financial & Managerial Accounting","13th Edition","9781285866307","1285866304","Carl Warren, James M. Reeve, Jonathan Duchac","Close the gap between homework and exam performance with Warren/Reeve/Duchac's FINANCIAL & MANAGERIAL ACCOUNTING, 13th Edition, and CengageNOWv2! Market-leading FINANCIAL & MANAGERIAL ACCOUNTING has been on the forefront of innovation and change based on the needs of today's teaching and learning environment. Warren/Reeve/Duchac's FINANCIAL & MANAGERIAL ACCOUNTING, 13th Edition, now available as a bundle option with CengageNOWv2 helps elevate student thinking with content that addresses each stage of the learning process from motivation to mastery. This integrated system motivates students to learn, provides practice opportunities to better prepare for exams, and helps students achieve mastery with tools to help them make connections and see the big picture. The Complete Learning System in FINANCIAL & MANAGERIAL ACCOUNTING and CengageNOWv2 is built around the way students use textbooks and online resources to learn, study and complete homework, allowing them to achieve ultimate success in this course. New content includes author-written Dynamic Exhibits that allow students to see connections and relationships like never before! Dynamic Exhibits allow students to change the variables in a scenario and see how a change ripples through the accounting system, helping students understand how concepts relate to one another. 

In addition to the many new digital assets created for this edition, the textbook content itself has also been revised to include the new revenue recognition standard and a greater emphasis on service companies in the managerial accounting chapters. The end goal of Warren/Reeve/Duchac's FINANCIAL & MANAGERIAL ACCOUNTING CengageNOWv2 is to elevate thinking and create more empowered and prepared students--ready to take on the rest of their educational and career goals."
"Financial Accounting: Tools for Business Decision Making, 8th Edition","8th Edition","9781118953808","1118953800","Paul D. Kimmel, Jerry J. Weygandt, Donald E. Kieso","Starting with the big picture of financial statements first, Paul Kimmel's Financial, 8th Edition, shows students why financial accounting is important to their everyday lives, business majors, and future careers. This best-selling financial accounting program is known for a student-friendly writing style, visual pedagogy, the most relevant and easy to understand examples, and teaching the accounting cycle through the lens of one consistent story of Sierra Corp, an outdoor adventure company."
"INTERMEDIATE ACCOUNTING W/CONNECT>IC<","9th Edition","9781307006582","1307006582","SPICELAND","Nice clean copy. Minimal signs of wear. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, and may not include CD-ROM or access codes. 100% Customer Satisfaction Guaranteed!"
"Bundle: Fundamentals of Financial Management, Concise Edition, Loose-leaf Version, 9th + MindTap Finance, 1 term (6 months) Printed Access Card","9th Edition","9781337087544","1337087548","Eugene F. Brigham, Joel F. Houston","Students save money when purchasing bundled products. This bundle contains Fundamentals of Financial Management, Concise Edition, 9th and access to MindTap Finance for 1 term (6 months) via printed access card."
"MANAGERIAL ACCT. (LOOSELEAF) W/CONNECT","16th Edition","9781260208443","1260208443","Garrison",
"ACCOUNTING:TOOLS... W/WILEYPLUS >C<","6th Edition","9781119298243","1119298245","Kimmel","In the new sixth edition, readers will be able to clearly see the relevance of accounting in their everyday lives. The authors introduce challenging accounting concepts with examples that are familiar to everyone, which helps build motivation to learn the material. Accounting issues are also placed within the context of marketing, management, IT, and finance."
"INTERMEDIATE ACCOUNTING (LL)"," Edition","9781119297741","1119297745","Kieso",
"Intermediate Accounting 16E Binder Ready Version With Wiley Plus Blackboard","16th Edition","9781119231561","1119231566","Kieso",
"Intermediate Accounting - Myaccountinglab - Pearson Etext Access Card Student Value Edition","1st Edition","9780134047430","134047435","Elizabeth A. Gordon, Jana S. Raedy, Alexander J. Sannella","The textbook has never been used, but it is not come with access code."
"Fundamental Accounting Principles","22nd Edition","9781308601120","1308601123","Chapters 1-12- custom Volume 1","The title of this book is Fundamental Accounting Principles and it was written by Chapters 1-12- custom Volume 1. This particular edition is in a Paperback format. This books publish date is Unknown. The 10 digit ISBN is 1308601123 and the 13 digit ISBN is 9781308601120."
"Loose Leaf For Financial Accounting","9th Edition","9781259738722","1259738728","Libby, Robert; Libby, Patricia; Hodge Ch, Frank","Libby/Libby/Hodge wrote this text based on their belief that the subject of financial accounting is inherently interesting, but financial accounting textbooks are often not. They believe most financial accounting textbooks fail to demonstrate that accounting is an exciting field of study and one that is important to future careers in business. When writing this text, they considered career relevance as their guide when selecting material, and the need to engage the student as their guide to style, pedagogy, and design. Libby/Libby/Hodge successfully implements a real-world, single focus company approach in every chapter. Students and instructors have responded very favorably to the use of focus companies and the real-world financial statements. 

The companies chosen are engaging and the decision-making focus shows the relevance of financial accounting regardless of whether or not the student has chosen to major in accounting. Libby/Libby/Hodge believes in the building-block approach to teaching transaction analysis. Most faculty agree that mastery of the accounting cycle is critical to success in financial accounting. And yet all other financial books introduce and develop transaction analysis in one chapter, bombarding a student early in the course with an overload of new concepts and terms. The authors believe that most faculty take more time with the accounting cycle, but other financial accounting textbooks don't. 

By slowing down the introduction of transactions and giving students time to practice and gain mastery, this building-block approach leads to greater student success in their study of later topics in financial accounting such as adjusting entries."
"Pkg Acc Infor Systems MS VISIO CD","10th Edition","9781133935940","113393594X","Ulric J. Gelinas","Users explore today's most intriguing AIS topics to see how they relate to business processes, information technology, strategic management, security, and internal controls. The text is clearly written to help users grasp even the most challenging topics. ACCOUNTING INFORMATION SYSTEMS, 10E focuses on three critical accounting information systems used today: enterprise systems, e-Business systems, and controls for maintaining those systems. The tenth edition provides users with the necessary tools and processes for organizing and managing information."
"FINANCIAL+MANAGERIAL ACCOUNTING"," Edition","9781323409169","1323409165","Miller",
"INTERMEDIATE ACCOUNTING(LL)W/LMS ACCESS","16th Edition","9781119287872","1119287871","Kieso","Intermediate Accounting, Sixteenth Edition Binder Ready Version with WileyPLUS LMS Card Set"
"FINANCIAL ACCOUNTING: TOOLS WP ACCESS","8th Edition","9781119230069","1119230063","Kimmel",
"Horngren's Accounting (11th Edition)","11th Edition","9780133856781","013385678X","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","Horngren?s Accounting presents the core content of accounting in a fresh format designed to help today?s learners succeed. The Eleventh Edition expands on the proven success of the significant revision to the Horngren franchise and uses what the authors have learned from focus groups, market feedback, and colleagues to create livelier classrooms, and provide meaningful learning tools. First, the authors ensured that content was clear, consistent, and above all, accurate. Every chapter is reviewed to ensure that readers understand what they are reading and that there is consistency from chapter to chapter. The author team worked every single accounting problem and employed a team of accounting professors from across the nation to review for accuracy."
"Intermediate Accounting (Volume 2) (Bound Paperback Edition)","16th Edition","9781119181507","111918150X","Kieso, Donald E., Weygandt, Jerry J., Warfield, Terry D.","Kieso, Weygandt, and Warfield's Intermediate Accounting, Sixteenth Edition continues to set the standard for students and professionals in the field. The 16th edition builds on this legacy through new, innovative student-focused learning. Kieso maintains the qualities for which the text is globally recognized, including its reputation for accuracy, comprehensiveness, accessibility, and quality problem material that best prepares students for success on the CPA exam and accounting careers. The 16th edition offers the most up-to-date coverage of US GAAP & IFRS in a format suited to the complex challenges of teaching intermediate accounting in these changing times."
